,accession#,sentences,num_chars
0,0001193125-14-356345,", below.",8
1,0001193125-14-356345,the fund will concentrate its investments in a particular industry or group of industries to approximately the same extent as the index is so concentrated.,155
2,0001193125-14-356345,"as of the close of business on june 30, 2014, the index was concentrated in the utilities industry group, which comprised approximately 100% of the market capitalization of the index.",183
3,0001193125-14-356345,"please see investment objectives, principal investment strategies and related risks in the back of the funds full prospectus for additional details.",148
4,0001193125-14-356345,principal risks you could lose money by investing in the fund.,62
5,0001193125-14-356345,risks associated with the use of derivatives  the fund obtains investment exposure through derivatives.,103
6,0001193125-14-356345,investing in derivatives may be considered aggressive and may expose the fund to greater risks than investing directly in the reference asset(s) underlying those derivatives.,174
7,0001193125-14-356345,"these risks include counterparty risk, liquidity risk and increased correlation risk (each as discussed below).",111
8,0001193125-14-356345,"when the fund uses derivatives, there may be imperfect correlation between the value of the reference asset(s) and the derivative, which may prevent the fund from achieving its investment objective.",198
9,0001193125-14-356345,"because derivatives often require limited initial investment, the use of derivatives also may expose the fund to losses in excess of those amounts initially invested.",166
10,0001193125-14-356345,the fund may use a combination of swaps on the index and swaps on an etf that is designed to track the performance of the index.,128
11,0001193125-14-356345,the performance of an etf may not track the performance of the index due to embedded costs and other factors.,109
12,0001193125-14-356345,"thus, to the extent the fund invests in swaps that use an etf as the reference asset, the fund may be subject to greater correlation risk and may not achieve as high a degree of correlation with the index as it would if the fund only used swaps on the index.",258
13,0001193125-14-356345,"moreover, with respect to the use of swap agreements, if the index has a dramatic intraday move that causes a material decline in the funds net assets, the terms of a swap agreement between the fund and its counterparty may permit the counterparty to immediately close out the transaction with the fund.",303
14,0001193125-14-356345,"in that event, the fund may be unable to enter into another swap agreement or invest in other derivatives to achieve the desired exposure consistent with the funds investment objective.",185
15,0001193125-14-356345,"this, in turn, may prevent the fund from achieving its investment objective, even if the index reverses all or a portion of its intraday move by the end of the day.",164
16,0001193125-14-356345,any costs associated with using derivatives will also have the effect of lowering the funds return.,99
